parlspeech_id,n_speech,min_date_speech,max_date_speech,mean_terms_speech,pageid,wikidataid
Thomas Mahlberg_CDU/CSU,20,2009-03-20,2017-05-18,469.5,3984830,Q1623097
Thomas Molnar_CDU/CSU,1,1991-09-18,1991-09-18,467,6574452,Q2426153
Thomas Nord_PDS/LINKE,14,2010-05-06,2017-01-19,670.9285714285714,3162568,Q111187
Thomas Oppermann_SPD,179,2006-02-16,2018-06-14,615.413407821229,984979,Q90833
Thomas Rachel_CDU/CSU,91,1995-09-28,2018-11-28,634.9010989010989,186952,Q2426649
Thomas Sattelberger_FDP,14,2018-02-28,2018-12-14,228.5,NA,NA
Thomas Sauer_SPD,6,1999-01-28,2003-01-30,1035.3333333333333,2882057,Q2427044
Thomas Schäuble_CDU/CSU,3,1999-03-19,1999-03-19,855,NA,NA
Thomas Seitz_AfD,14,2018-02-22,2018-10-18,424.7857142857143,NA,NA
Thomas Silberhorn_CDU/CSU,175,2003-02-21,2014-10-15,627.8857142857142,984873,Q2427303
Thomas Stritzl_CDU/CSU,32,2014-05-09,2017-06-29,228.25,NA,NA
Thomas Strobl_CDU/CSU,172,1998-11-19,2016-02-19,429.45348837209303,880912,Q112109
Thomas Viesehon_CDU/CSU,4,2014-03-13,2016-01-27,394.25,NA,NA
Thorsten Frei_CDU/CSU,102,2014-02-13,2018-11-30,484.52941176470586,NA,NA
Thorsten Hoffmann_CDU/CSU,7,2015-07-02,2017-06-21,809,NA,NA
Till Backhaus_SPD,15,2001-02-08,2006-02-16,510.8666666666667,NA,NA
Till Mansmann_FDP,15,2018-01-31,2018-11-30,314.53333333333336,NA,NA
Till Seiler_GRUENE,3,2011-07-07,2011-10-27,428,6211362,Q1547023
Tilo Braune_SPD,25,1995-03-08,1998-06-17,472.44,173780,Q2433691
Tim Ostermann_CDU/CSU,20,2014-02-14,2017-06-28,603.35,NA,NA
Timon Gremmels_SPD,14,2018-01-31,2018-11-09,441,NA,NA
Tino Chrupalla_AfD,12,2017-11-21,2018-12-13,395.25,NA,NA
Tino Sorge_CDU/CSU,41,2014-04-04,2018-10-18,345.0487804878049,NA,NA
Tobias Lindner_GRUENE,107,2011-09-07,2018-12-13,634,6265549,Q2437890
Tobias Marhold_SPD,6,2000-05-19,2004-02-13,544.8333333333334,2822551,Q1531954
Tobias Matthias Peterka_AfD,12,2018-01-31,2018-12-14,162.41666666666666,NA,NA
Tobias Pflüger_PDS/LINKE,29,2017-11-21,2018-11-21,263.6551724137931,NA,NA
Tobias Zech_CDU/CSU,50,2014-01-16,2017-06-29,591.08,NA,NA
Tom Koenigs_GRUENE,81,2010-05-20,2017-06-22,460.5308641975309,454894,Q98105
Torbjörn Kartes_CDU/CSU,9,2018-02-23,2018-10-12,579.1111111111111,NA,NA
Torsten Herbst_FDP,13,2017-11-21,2018-11-28,189.76923076923077,NA,NA
Torsten Schweiger_CDU/CSU,2,2018-04-19,2018-10-12,795.5,NA,NA
Torsten Staffeldt_FDP,40,2010-04-21,2013-04-25,460.35,4797543,Q2444991
Torsten Wolfgramm_FDP,45,1991-06-13,1994-02-03,239.35555555555555,217661,Q1671024
Trudi Schmidt_CDU/CSU,6,1991-09-26,1994-03-02,591.3333333333334,6584153,Q1542549
Uda Heller_CDU/CSU,10,2003-05-22,2017-05-17,729.9,664298,Q2472977
Udo Haschke_CDU/CSU,31,1992-01-23,1994-09-21,389.83870967741933,4299393,Q2473178
Udo Schiefner_SPD,10,2014-05-22,2018-10-18,429.7,NA,NA
Udo Theodor Hemmelgarn_AfD,5,2018-04-19,2018-11-29,697.2,NA,NA
Ulf Fink_CDU/CSU,105,1994-12-15,2002-06-13,522.5904761904762,395213,Q2474771
Uli Grötsch_SPD,49,2014-01-16,2018-11-29,695.4897959183673,NA,NA
Ulla Burchardt_SPD,51,2002-05-16,2013-06-28,633.8627450980392,173908,Q102760
Ulla Ihnen_FDP,11,2018-05-15,2018-11-20,489.72727272727275,NA,NA
