"pageid","session","party","constituency","constituency2","session_start","session_end","service","country","wikidataid","wikititle","name","sex","ethnicity","religion","birth","death","birthplace","deathplace"
"237789",19,"SPD","Landesliste","Nordrhein-Westfalen",2017-10-24,2021-10-24,1461,"DEU","Q109521","Ingrid_Arndt-Brauer","Ingrid Arndt-Brauer","female",NA,NA,1961-03-20,NA,"50.81667,8.76667",NA
"4752864",19,"FDP","Landesliste","Schleswig-Holstein",2017-10-24,2021-10-24,1461,"DEU","Q1083405","Christine_Aschenberg-Dugnus","Christine Aschenberg-Dugnus","female",NA,NA,1959-09-22,NA,"50.14014,8.39201",NA
"494187",19,"CSU","Ansbach","Bayern",2017-10-24,2021-10-24,1461,"DEU","Q122011","Artur_Auernhammer","Artur Auernhammer","male","white","protestantism lutheran",1963-03-09,NA,"49.03,11.0481",NA
"4747974",19,"CSU","Regensburg","Bayern",2017-10-24,2021-10-24,1461,"DEU","Q2073755","Peter_Aumer","Peter Aumer","male","white","catholicism",1976-04-17,NA,"49.01667,12.08333",NA
"5518902",19,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Bayern",2017-10-24,2021-10-24,1461,"DEU","Q40998238","Lisa_Badum","Lisa Badum","female","white","catholicism",1983-10-02,NA,"49.71972,11.05806",NA
"7888342",19,"SPD","Landesliste","Baden-Württemberg",2017-10-24,2021-10-24,1461,"DEU","Q15114946","Heike_Baehrens","Heike Baehrens","female","white","protestantism lutheran",1955-09-21,NA,"51.86667,9.5",NA
"4967001",19,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Brandenburg",2017-10-24,2021-10-24,1461,"DEU","Q564328","Annalena_Baerbock","Annalena Baerbock","female","white","protestantism lutheran",1980-12-15,NA,"52.37444,9.73861",NA
"7888583",19,"SPD","Landesliste","Bayern",2017-10-24,2021-10-24,1461,"DEU","Q15114982","Ulrike_Bahr","Ulrike Bahr","female","white","catholicism",1964-04-25,NA,"48.85,10.5",NA
"174412",19,"CSU","Bad Kissingen","Bayern",2017-10-24,2021-10-24,1461,"DEU","Q85851","Dorothee_Bär","Dorothee Mantel","female","white","catholicism",1978-04-19,NA,"49.89167,10.89167",NA
"890108",19,"CDU","Zollernalb – Sigmaringen","Baden-Württemberg",2017-10-24,2021-10-24,1461,"DEU","Q90623","Thomas_Bareiß","Thomas Bareiß","male","white","protestantism evangelical",1975-02-15,NA,"48.21667,9.03333",NA
"7888646",19,"SPD","Landesliste","Rheinland-Pfalz",2017-10-24,2021-10-24,1461,"DEU","Q15117357","Katarina_Barley","Katarina Barley","female","white",NA,1968-11-19,NA,"50.94222,6.95778",NA
"173259",19,"SPD","Landesliste","Rheinland-Pfalz",2017-10-24,2021-10-24,1461,"DEU","Q113994","Doris_Barnett","Doris Barnett","female","white",NA,1953-05-22,NA,"49.48111,8.43528",NA
"10059789",19,"DIE LINKE","Landesliste","Bayern",2017-10-24,2021-10-24,1461,"DEU","Q40998271","Simone_Barrientos","Simone Barrientos","female",NA,NA,1963-10-05,NA,"51.51667,11.55",NA
"237826",19,"CDU","Backnang – Schwäbisch Gmünd","Baden-Württemberg",2017-10-24,2021-10-24,1461,"DEU","Q109811","Norbert_Barthle","Norbert Barthle","male","white","catholicism",1952-02-01,NA,"48.8,9.8",NA
"7888641",19,"SPD","Hamburg-Altona","Hamburg",2017-10-24,2021-10-24,1461,"DEU","Q14947864","Matthias_Bartke","Matthias Bartke","male","white",NA,1959-01-16,NA,"53.07694,8.80889",NA
"237825",19,"SPD","Marburg","Hessen",2017-10-24,2021-10-24,1461,"DEU","Q91081","Sören_Bartol","Sören Bartol","male","white","protestantism evangelical",1974-09-04,NA,"53.55,10",NA
"422346",19,"DIE LINKE","Landesliste","Mecklenburg-Vorpommern",2017-10-24,2021-10-24,1461,"DEU","Q99450","Dietmar_Bartsch","Dietmar Bartsch","male","white","atheism",1958-03-31,NA,"54.3,13.08333",NA
"4737203",19,"SPD","Duisburg I","Nordrhein-Westfalen",2017-10-24,2021-10-24,1461,"DEU","Q1019016","Bärbel_Bas","Bärbel Bas","female","white",NA,1968-05-03,NA,"51.5328,6.70861",NA
"10057695",19,"FDP","Landesliste","Bayern",2017-10-24,2021-10-24,1461,"DEU","Q40998121","Nicole_Bauer","Nicole Bauer","female",NA,"catholicism",1987-03-19,NA,"48.45,12.33333",NA
"8600106",19,"AfD","Landesliste","Hamburg",2017-10-24,2021-10-24,1461,"DEU","Q19362177","Bernd_Baumann","Bernd Baumann","male",NA,"atheism",1958-01-31,NA,"51.5325,7.16167",NA
"939114",19,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Bayern",2017-10-24,2021-10-24,1461,"DEU","Q1894938","Margarete_Bause","Margarete Bause","female","white","atheism",1959-01-19,NA,"49.75,9.51667",NA
"10060012",19,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Baden-Württemberg",2017-10-24,2021-10-24,1461,"DEU","Q40997659","Danyal_Bayaz","Danyal Bayaz","male","white",NA,1983-10-15,NA,"49.41222,8.71",NA
"2543936",19,"BÜNDNIS 90/DIE GRÜNEN","Berlin-Friedrichshain – Kreuzberg – Prenzlauer Berg Ost","Berlin",2017-10-24,2021-10-24,1461,"DEU","Q1032742","Canan_Bayram","Canan Bayram","female","white",NA,1966-02-11,NA,"38.35536,38.33369",NA
"10063057",19,"FDP","Landesliste","Niedersachsen",2017-10-24,2021-10-24,1461,"DEU","Q40803793","Jens_Beeck","Jens Beeck","male","white",NA,1969-09-19,NA,"51.9625,7.62556",NA
"10068958",19,"FDP","Landesliste","Nordrhein-Westfalen",2017-10-24,2021-10-24,1461,"DEU","Q40999063","Olaf_in_der_Beek","Olaf in der Beek","male","white","atheism",1967-07-31,NA,"51.48333,7.21667",NA
"2101026",19,"FDP","Landesliste","Hessen",2017-10-24,2021-10-24,1461,"DEU","Q1986069","Nicola_Beer","Nicola Beer","female","white",NA,1970-01-23,NA,"50.0825,8.24",NA
"7889051",19,"CDU","Nienburg II – Schaumburg","Niedersachsen",2017-10-24,2021-10-24,1461,"DEU","Q15126097","Maik_Beermann","Maik Beermann","male","white","protestantism lutheran",1981-10-19,NA,"52.64111,9.20694",NA
